Model,Overwrite,NSS,CCI,Acc,Std,Latex
intrinsic-densenet-embedding-based,0,1,1,46.6,0.16,$46.6$\scalebox{0.75}{$ \mypm0.16$}&
intrinsic-densenet-embedding-based,0,3,1,27.9,0.16,$27.9$\scalebox{0.75}{$ \mypm0.16$}&
intrinsic-densenet-embedding-based,1,3,1,34.0,0.23,$34$\scalebox{0.75}{$ \mypm0.23$}&
intrinsic-densenet-embedding-based,0,5,1,22.0,0.18,$22$\scalebox{0.75}{$ \mypm0.18$}&
intrinsic-densenet-embedding-based,1,5,1,30.1,0.36,$30.1$\scalebox{0.75}{$ \mypm0.36$}&
intrinsic-densenet-embedding-based,0,10,1,14.6,0.07,$14.6$\scalebox{0.75}{$ \mypm0.07$}&
intrinsic-densenet-embedding-based,1,10,1,26.3,0.13,$26.3$\scalebox{0.75}{$ \mypm0.13$}&
intrinsic-densenet-embedding-based,0,4,2,22.9,0.11,$22.9$\scalebox{0.75}{$ \mypm0.11$}&
intrinsic-densenet-embedding-based,0,8,2,16.7,0.22,$16.7$\scalebox{0.75}{$ \mypm0.22$}&
intrinsic-densenet-embedding-based,1,3,3,65.3,0.15,$65.3$\scalebox{0.75}{$ \mypm0.15$}&
intrinsic-densenet-embedding-based,1,5,5,72.0,0.36,$72$\scalebox{0.75}{$ \mypm0.36$}&
standard-densenet-embedding-based,0,1,1,45.3,0.14,$45.3$\scalebox{0.75}{$ \mypm0.14$}&
standard-densenet-embedding-based,0,3,1,27.2,0.25,$27.2$\scalebox{0.75}{$ \mypm0.25$}&
standard-densenet-embedding-based,1,3,1,33.8,0.16,$33.8$\scalebox{0.75}{$ \mypm0.16$}&
standard-densenet-embedding-based,0,5,1,21.0,0.21,$21$\scalebox{0.75}{$ \mypm0.21$}&
standard-densenet-embedding-based,1,5,1,30.4,0.51,$30.4$\scalebox{0.75}{$ \mypm0.51$}&
standard-densenet-embedding-based,0,10,1,14.4,0.12,$14.4$\scalebox{0.75}{$ \mypm0.12$}&
standard-densenet-embedding-based,1,10,1,25.7,0.10,$25.7$\scalebox{0.75}{$ \mypm0.1$}&
standard-densenet-embedding-based,0,4,2,21.9,0.21,$21.9$\scalebox{0.75}{$ \mypm0.21$}&
standard-densenet-embedding-based,0,8,2,15.8,0.10,$15.8$\scalebox{0.75}{$ \mypm0.1$}&
standard-densenet-embedding-based,1,3,3,61.2,0.36,$61.2$\scalebox{0.75}{$ \mypm0.36$}&
standard-densenet-embedding-based,1,5,5,68.6,0.47,$68.6$\scalebox{0.75}{$ \mypm0.47$}&
standard-densenet-embedding-based,1,10,10,75.6,0.10,$75.6$\scalebox{0.75}{$ \mypm0.1$}&
standard-vgg-based,0,1,1,42.0,0.48,$42$\scalebox{0.75}{$ \mypm0.48$}&
standard-vgg-based,0,3,1,13.6,0.04,$13.6$\scalebox{0.75}{$ \mypm0.04$}&
standard-vgg-based,1,3,1,25.5,0.23,$25.5$\scalebox{0.75}{$ \mypm0.23$}&
standard-vgg-based,0,5,1,07.9,0.13,$7.9$\scalebox{0.75}{$ \mypm0.13$}&
standard-vgg-based,1,5,1,22.6,0.03,$22.6$\scalebox{0.75}{$ \mypm0.03$}&
standard-vgg-based,0,10,1,03.6,0.14,$3.6$\scalebox{0.75}{$ \mypm0.14$}&
standard-vgg-based,1,10,1,20.8,0.09,$20.8$\scalebox{0.75}{$ \mypm0.09$}&
standard-vgg-based,0,4,2,10.6,0.04,$10.6$\scalebox{0.75}{$ \mypm0.04$}&
standard-vgg-based,0,8,2,05.1,0.01,$5.1$\scalebox{0.75}{$ \mypm0.01$}&
standard-vgg-based,1,3,3,42.7,0.10,$42.7$\scalebox{0.75}{$ \mypm0.1$}&
standard-vgg-based,1,5,5,43.0,0.12,$43$\scalebox{0.75}{$ \mypm0.12$}&
standard-vgg-based,1,10,10,43.0,0.42,$43$\scalebox{0.75}{$ \mypm0.42$}&
standard-vgg-fine-tune-pretrained,0,1,1,24.5,0.60,$24.5$\scalebox{0.75}{$ \mypm0.6$}&
standard-vgg-fine-tune-pretrained,0,3,1,08.7,0.03,$8.7$\scalebox{0.75}{$ \mypm0.03$}&
standard-vgg-fine-tune-pretrained,1,3,1,21.9,0.11,$21.9$\scalebox{0.75}{$ \mypm0.11$}&
standard-vgg-fine-tune-pretrained,0,5,1,04.9,0.02,$4.9$\scalebox{0.75}{$ \mypm0.02$}&
standard-vgg-fine-tune-pretrained,1,5,1,21.2,0.05,$21.2$\scalebox{0.75}{$ \mypm0.05$}&
standard-vgg-fine-tune-pretrained,0,10,1,02.7,0.03,$2.7$\scalebox{0.75}{$ \mypm0.03$}&
standard-vgg-fine-tune-pretrained,1,10,1,20.7,0.10,$20.7$\scalebox{0.75}{$ \mypm0.1$}&
standard-vgg-fine-tune-pretrained,0,4,2,06.4,0.01,$6.4$\scalebox{0.75}{$ \mypm0.01$}&
standard-vgg-fine-tune-pretrained,0,8,2,03.3,0.03,$3.3$\scalebox{0.75}{$ \mypm0.03$}&
standard-vgg-fine-tune-pretrained,1,3,3,24.2,0.17,$24.2$\scalebox{0.75}{$ \mypm0.17$}&
standard-vgg-fine-tune-pretrained,1,5,5,24.5,0.23,$24.5$\scalebox{0.75}{$ \mypm0.23$}&
standard-vgg-fine-tune-pretrained,1,10,10,24.4,0.20,$24.4$\scalebox{0.75}{$ \mypm0.2$}&
standard-vgg-fine-tune-scratch,0,1,1,25.1,0.00,$25.1$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,0,3,1,08.4,0.00,$8.4$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,1,3,1,21.3,0.00,$21.3$\scalebox{0.75}{$ \mypm0$}&
